what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1356394108562
java.runtime.version,sysinfo,,,"1.6.0_15-b03-219",1356394108562
java.specification.name,sysinfo,,,"Java Platform API Specification",1356394108562
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1356394108562
java.specification.version,sysinfo,,,"1.6",1356394108562
java.vendor,sysinfo,,,"Apple Inc.",1356394108562
java.version,sysinfo,,,"1.6.0_15",1356394108562
java.vm.info,sysinfo,,,"mixed mode",1356394108562
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1356394108562
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1356394108562
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1356394108562
java.vm.specification.version,sysinfo,,,"1.0",1356394108562
java.vm.vendor,sysinfo,,,"Apple Inc.",1356394108562
java.vm.version,sysinfo,,,"14.1-b02-90",1356394108562
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1356394108781
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1356394108934
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1356394109587
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1356394109732
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1356394110493
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1356394111455
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1356394111982
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1356394112191
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1356394112888
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1356394112967
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1356394114479
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1356394115346
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1356394115464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356394121462
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1356394142876
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1356394145666
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356394158650
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356394160705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356394301538
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1356394311002
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1356394311855
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1356394312139
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1356394312593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356394338723
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356394340220
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356394340415
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1356394342388
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1356394342433
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1356394343332
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1356394343415
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1356394343475
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1356394343508
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1356394343574
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1356394343620
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1356394343628
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1356394343682
